"Collection Name","Title#1","Creator#1","CreatorLink#1","Creator#2","CreatorLink#2","Publisher#1","PublisherLink#1","Contributor#1","Contributor#2","Scientific Name#1","Higher Classification#1","Higher Classification Source#1","Scientific Name#2","Higher Classification#2","Higher Classification Source#2","Scientific Name#3","Higher Classification#3","Higher Classification Source#3","Scientific Name#4","Higher Classification#4","Higher Classification Source#4","Scientific Name#5","Higher Classification#5","Higher Classification Source#5","Description#1","DescriptionLink#1","Description#2","Description#3","Description#4","Description#5","Date#1","Type#1","TypeLink#1","Format#1","FormatLink#1","Format#2","FormatLink#2","Format#3","FormatLink#3","Format#4","FormatLink#4","Coverage#1","CoverageLink#1","Coverage#2","CoverageLink#2","Coverage#3","CoverageLink#3","Subject#1","SubjectLink#1","Subject#10","SubjectLink#10","Subject#11","SubjectLink#11","Subject#12","SubjectLink#12","Subject#13","SubjectLink#13","Subject#2","SubjectLink#2","Subject#3","SubjectLink#3","Subject#4","SubjectLink#4","Subject#5","SubjectLink#5","Subject#6","SubjectLink#6","Subject#7","SubjectLink#7","Subject#8","SubjectLink#8","Subject#9","SubjectLink#9","Identifier#1","Identifier ARK#1","Source#1","SourceLink#1","Language#1","LanguageLink#1","Relation#1","RelationLink#1","Relation#2","Relation#3","Rights#1","RightsLink#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Theodore Dru Alison Cockerell Papers","Guests of the flowers","Niedrach, Robert J., filmmaker","http://id.loc.gov/authorities/names/no00027492","","","","","","","Nomia bakeri","Animalia | Arthropoda | Insecta | Hymenoptera | Halictidae","GBIF","Bembix","Animalia | Arthropoda | Insecta | Hymenoptera | Crabronidae","GBIF","Diadasia australis","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae","GBIF","Anthophora occidentalis","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae","GBIF","Melitoma grisella","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae","GBIF","Title from leader, ""Bees nesting - Haselton."" Photographer, Robert Neidrach. Close-up images of various bee species landing on flowers and burrowing into earth. Also includes views of men examining larvae in ground nests. Titles include ""Bee: Nomia Bakeri,"" ""Diodasia Australis, 'Bee of the Cactus,'"" ""Bee Anthophora Occidentalis, 'Bee of the Bank' (Fabre),"""" and ""Bee Melitoma Grisella, 'Bee of the Bush Morning Glory.'""","","Box 96, Film 2.","","","","1930s/1940s","MovingImage","http://purl.org/dc/dcmitype/MovingImage","motion pictures (visual works)","http://vocab.getty.edu/aat/300136900","black-and-white film","http://vocab.getty.edu/aat/300127344","video/mp4","https://www.iana.org/assignments/media-types/application/mp4","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Cockerell, Theodore D. A. (Theodore Dru Alison), 1866-1948","http://id.loc.gov/authorities/names/n88619263","","","","","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","Cockerell_96-2_Bees_Nesting.mp4","https://ark.colorado.edu/ark:/47540/hq001321w961","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","247","147601","5112","Cockerell_96-2_Bees_Nesting.mp4","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~247~147601"
"Theodore Dru Alison Cockerell Papers","Letter from J. A. Allen to Theodore Cockerell","Allen, J. A. (Joel Asaph), 1838-1921, author","http://id.loc.gov/authorities/names/n50036582","","","","","","","","","","","","","","","","","","","","","","Box 1, Folder 19.","","","","","","1911-02-25","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","narv_cockerellFlorissant_001_019_001.pdf","https://ark.colorado.edu/ark:/47540/rq8n261051rj","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","2","147127","5112","narv_cockerellFlorissant_001_019_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~2~147127"
"Theodore Dru Alison Cockerell Papers","Letter from Isaac Bayley Balfour to Theodore Cockerell","Balfour, Bayley, author","http://id.loc.gov/authorities/names/n2016180934","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 6.","","","","","","Undated","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","narv_cockerellFlorissant_002_006_001.pdf","https://ark.colorado.edu/ark:/47540/x55j7s07b301","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","248","147125","5112","narv_cockerellFlorissant_002_006_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~248~147125"
"Theodore Dru Alison Cockerell Papers","Letter from Isaac Bayley Balfour to Theodore Cockerell","Balfour, Bayley, author","http://id.loc.gov/authorities/names/n2016180934","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 6.","","","","","","Undated","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","narv_cockerellFlorissant_002_006_003.pdf","https://ark.colorado.edu/ark:/47540/t65w6d6706nd","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","249","147123","5112","narv_cockerellFlorissant_002_006_003.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~249~147123"
"Theodore Dru Alison Cockerell Papers","Letter from Isaac Bayley Balfour to Theodore Cockerell","Balfour, Bayley, author","http://id.loc.gov/authorities/names/n2016180934","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 6.","","","","","","1911-03-27","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","narv_cockerellFlorissant_002_006_005.pdf","https://ark.colorado.edu/ark:/47540/k15n6590h2b8","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","5","147121","5112","narv_cockerellFlorissant_002_006_005.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~5~147121"
"Theodore Dru Alison Cockerell Papers","Letter from R. S. Bassler to Theodore Cockerell","Bassler, Ray S. (Ray Smith), 1878- , author","http://id.loc.gov/authorities/names/n84119674","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 28.","","","","","","1912-06-01","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","narv_cockerellFlorissant_002_028_001.pdf","https://ark.colorado.edu/ark:/47540/fv9z6x83m7vg","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","6","147119","5112","narv_cockerellFlorissant_002_028_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~6~147119"
"Theodore Dru Alison Cockerell Papers","Letter from R. S. Bassler to Theodore Cockerell","Bassler, Ray S. (Ray Smith), 1878- , author","http://id.loc.gov/authorities/names/n84119674","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 28.","","","","","","1912-07-17","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","narv_cockerellFlorissant_002_028_003.pdf","https://ark.colorado.edu/ark:/47540/4z5w5n30r5xz","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","7","147117","5112","narv_cockerellFlorissant_002_028_003.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~7~147117"
"Theodore Dru Alison Cockerell Papers","Letter from R. S. Bassler to Theodore Cockerell","Bassler, Ray S. (Ray Smith), 1878- , author","http://id.loc.gov/authorities/names/n84119674","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 28.","","","","","","1913-02-08","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","narv_cockerellFlorissant_002_028_005.pdf","https://ark.colorado.edu/ark:/47540/zd702826j3pf","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","8","147115","5112","narv_cockerellFlorissant_002_028_005.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~8~147115"
"Theodore Dru Alison Cockerell Papers","Letter from F. A. Bather to Theodore Cockerell","Bather, Francis Arthur, 1863-1934, author","http://id.loc.gov/authorities/names/n2006050141","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 29.","","","","","","1909-05-11","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","narv_cockerellFlorissant_002_029_001.pdf","https://ark.colorado.edu/ark:/47540/10732n19q2m2","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","9","147113","5112","narv_cockerellFlorissant_002_029_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~9~147113"
"Theodore Dru Alison Cockerell Papers","Letter from F. A. Bather to Theodore Cockerell","Bather, Francis Arthur, 1863-1934, author","http://id.loc.gov/authorities/names/n2006050141","","","","","","","","","","","","","","","","","","","","","","Box 2, Folder 29.","","","","","","1909-11-08","Text","http://purl.org/dc/dcmitype/Text","letters (correspondence)","http://vocab.getty.edu/aat/300026879","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","","","","","Florissant Fossil Beds National Monument (Colo.)","http://id.loc.gov/authorities/subjects/sh2004003365","","","","","Naturalists--Colorado","http://id.loc.gov/authorities/subjects/sh85090273","","","","","","","","","Paleontology--Colorado--Teller County","http://id.loc.gov/authorities/subjects/sh85097123","","","","","","","","","","","","","","","narv_cockerellFlorissant_002_029_002.pdf","https://ark.colorado.edu/ark:/47540/k91x7d07s1cs","","","English","http://id.loc.gov/vocabulary/iso639-2/eng","","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=cou2cockerell.xml","","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","10","147111","5112","narv_cockerellFlorissant_002_029_002.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~11~11~10~147111"
